,airport,courier,domestic,international,month,year
0,All,All,815489,92565,10,2002
1,All,All,766775,91342,11,2002
2,All,All,782175,96881,12,2002
3,All,All,785651,98053,1,2003
4,All,All,690750,85965,2,2003
5,All,All,797634,97929,3,2003
6,All,All,766639,89398,4,2003
7,All,All,789857,87671,5,2003
8,All,All,798841,95435,6,2003
9,All,All,832075,102795,7,2003
10,All,All,831185,102145,8,2003
11,All,All,782264,90681,9,2003
12,All,All,818777,91820,10,2003
13,All,All,766266,91004,11,2003
14,All,All,798879,97094,12,2003
15,All,All,787719,98671,1,2004
16,All,All,762038,92915,2,2004
17,All,All,834912,101541,3,2004
18,All,All,818293,100027,4,2004
19,All,All,833861,102602,5,2004
20,All,All,837451,104769,6,2004
21,All,All,871526,113956,7,2004
22,All,All,883458,112497,8,2004
23,All,All,819715,96493,9,2004
24,All,All,861739,97757,10,2004
25,All,All,820586,96169,11,2004
26,All,All,836749,103282,12,2004
27,All,All,807817,104435,1,2005
28,All,All,761366,94597,2,2005
29,All,All,867055,108324,3,2005
30,All,All,838535,105103,4,2005
31,All,All,873425,108663,5,2005
32,All,All,863921,110219,6,2005
33,All,All,887493,118188,7,2005
34,All,All,891350,116031,8,2005
35,All,All,815316,101031,9,2005
36,All,All,831717,99765,10,2005
37,All,All,797856,96426,11,2005
38,All,All,802522,104899,12,2005
39,All,All,785817,106320,1,2006
40,All,All,716229,96254,2,2006
41,All,All,824241,110615,3,2006
42,All,All,794799,107878,4,2006
43,All,All,824452,108911,5,2006
44,All,All,820712,111788,6,2006
45,All,All,852500,119813,7,2006
46,All,All,866941,118451,8,2006
47,All,All,800175,104855,9,2006
48,All,All,828582,103471,10,2006
49,All,All,792846,100564,11,2006
50,All,All,805456,110289,12,2006
51,All,All,804290,110453,1,2007
52,All,All,724968,99896,2,2007
53,All,All,830718,114004,3,2007
54,All,All,809999,110511,4,2007
55,All,All,844412,111809,5,2007
56,All,All,832520,114555,6,2007
57,All,All,864001,122527,7,2007
58,All,All,872656,121949,8,2007
59,All,All,805360,106044,9,2007
60,All,All,841460,106443,10,2007
61,All,All,804957,104662,11,2007
62,All,All,804237,113110,12,2007
63,All,All,793595,113045,1,2008
64,All,All,746895,106644,2,2008
65,All,All,817736,117470,3,2008
66,All,All,799847,113495,4,2008
67,All,All,820332,114686,5,2008
68,All,All,816138,116272,6,2008
69,All,All,844962,122974,7,2008
70,All,All,823729,121976,8,2008
71,All,All,728544,101441,9,2008
72,All,All,758740,102984,10,2008
73,All,All,707430,100507,11,2008
74,All,All,720279,107283,12,2008
75,All,All,710155,109016,1,2009
76,All,All,660098,98596,2,2009
77,All,All,747568,111898,3,2009
78,All,All,729067,108439,4,2009
79,All,All,749196,99434,5,2009
80,All,All,760357,106627,6,2009
81,All,All,794188,115443,7,2009
82,All,All,781510,113768,8,2009
83,All,All,709954,97400,9,2009
84,All,All,726799,98788,10,2009
85,All,All,694945,97589,11,2009
86,All,All,705101,106367,12,2009
87,All,All,695109,108804,1,2010
88,All,All,623211,96264,2,2010
89,All,All,740135,111927,3,2010
90,All,All,722797,106640,4,2010
91,All,All,741802,110374,5,2010
92,All,All,751554,113690,6,2010
93,All,All,782645,122866,7,2010
94,All,All,781584,117795,8,2010
95,All,All,718801,100656,9,2010
96,All,All,737409,103417,10,2010
97,All,All,704530,98623,11,2010
98,All,All,702788,106912,12,2010
99,All,All,681361,109621,1,2011
100,All,All,625691,98560,2,2011
101,All,All,754851,114192,3,2011
102,All,All,720272,110620,4,2011
103,All,All,743929,109856,5,2011
104,All,All,756838,112313,6,2011
105,All,All,783938,122315,7,2011
106,All,All,768089,116831,8,2011
107,All,All,706499,104962,9,2011
108,All,All,723342,106471,10,2011
109,All,All,682775,101704,11,2011
110,All,All,701502,111934,12,2011
111,All,All,677862,111741,1,2012
112,All,All,647146,104745,2,2012
113,All,All,728770,117555,3,2012
114,All,All,707126,112750,4,2012
115,All,All,725850,114385,5,2012
116,All,All,735215,117309,6,2012
117,All,All,757577,124934,7,2012
118,All,All,753520,123078,8,2012
119,All,All,678061,107311,9,2012
120,All,All,694790,106620,10,2012
121,All,All,669357,104854,11,2012
122,All,All,670926,113805,12,2012
123,All,All,662137,115425,1,2013
124,All,All,607674,103764,2,2013
125,All,All,710251,120765,3,2013
126,All,All,693969,115552,4,2013
127,All,All,721525,118763,5,2013
128,All,All,719431,119376,6,2013
129,All,All,751574,127554,7,2013
130,All,All,747152,125665,8,2013
131,All,All,683465,106028,9,2013
132,All,All,708485,111647,10,2013
133,All,All,655857,105703,11,2013
134,All,All,662418,114664,12,2013
135,All,All,624949,116059,1,2014
136,All,All,577281,103775,2,2014
137,All,All,696466,124874,3,2014
138,All,All,676427,119965,4,2014
139,All,All,695942,122279,5,2014
140,All,All,702089,126102,6,2014
141,All,All,735523,134191,7,2014
142,All,All,724088,130211,8,2014
143,All,All,665581,111093,9,2014
144,All,All,694036,112478,10,2014
145,All,All,649019,110523,11,2014
146,All,All,666401,121656,12,2014
147,All,All,634868,120629,1,2015
148,All,All,570076,107407,2,2015
149,All,All,684009,124658,3,2015
150,All,All,669870,122749,4,2015
151,All,All,690229,125341,5,2015
152,All,All,697511,127980,6,2015
153,All,All,732894,137374,7,2015
154,All,All,724134,134508,8,2015
155,All,All,658506,115656,9,2015
156,All,All,687829,117640,10,2015
157,All,All,651293,112599,11,2015
158,All,All,659939,125812,12,2015
159,All,All,636891,124547,1,2016
160,All,All,612253,115833,2,2016
161,All,All,697950,129858,3,2016
162,All,All,675684,125563,4,2016
163,All,All,702400,129532,5,2016
164,All,All,712818,134102,6,2016
165,All,All,730227,141554,7,2016
166,All,All,731337,137972,8,2016
167,All,All,672465,120938,9,2016
168,All,All,687972,121745,10,2016
169,All,All,657984,115950,11,2016
170,All,All,662013,131692,12,2016
171,All,All,645111,130475,1,2017
172,All,All,591980,115773,2,2017
173,All,All,697509,133546,3,2017
174,All,All,673293,132078,4,2017
175,All,AllUS,815032,53708,10,2002
176,All,AllUS,766327,53279,11,2002
177,All,AllUS,781653,57219,12,2002
178,All,AllUS,785160,57667,1,2003
179,All,AllUS,690351,51259,2,2003
180,All,AllUS,797194,58926,3,2003
181,All,AllUS,766260,55005,4,2003
182,All,AllUS,789397,55265,5,2003
183,All,AllUS,798351,58225,6,2003
184,All,AllUS,831619,62957,7,2003
185,All,AllUS,830737,63760,8,2003
186,All,AllUS,781804,54017,9,2003
187,All,AllUS,818308,54272,10,2003
188,All,AllUS,765842,53817,11,2003
189,All,AllUS,798392,57578,12,2003
190,All,AllUS,787237,58293,1,2004
191,All,AllUS,761618,55822,2,2004
192,All,AllUS,834476,60649,3,2004
193,All,AllUS,817899,60455,4,2004
194,All,AllUS,833350,62596,5,2004
195,All,AllUS,836916,64256,6,2004
196,All,AllUS,871049,69890,7,2004
197,All,AllUS,882979,68332,8,2004
198,All,AllUS,819294,56541,9,2004
199,All,AllUS,861291,58659,10,2004
200,All,AllUS,820048,58312,11,2004
201,All,AllUS,836232,63469,12,2004
202,All,AllUS,807338,64803,1,2005
203,All,AllUS,760955,59351,2,2005
204,All,AllUS,866593,68802,3,2005
205,All,AllUS,838122,66430,4,2005
206,All,AllUS,872961,68225,5,2005
207,All,AllUS,863422,69814,6,2005
208,All,AllUS,887084,74818,7,2005
209,All,AllUS,890938,73164,8,2005
210,All,AllUS,814935,61812,9,2005
211,All,AllUS,831265,61017,10,2005
